@relation 0706

@attribute JenisKelamin {Pria,Wanita}
@attribute IPK {CumLaude,Memuaskan,DiBawah275,SangatMemuaskan}
@attribute Psikologi {Baik,CukupBaik,SangatBaik}
@attribute IQ {VerySuperior,Superior,BelowAverage,Genius,AboveAverage,Average,Borderline}
@attribute StatusKerja {BekerjadanWiraswasta,MelanjutkanStudi,Bekerja,TidakBekerja,Wirausaha}
@attribute KategoriPerusahaan {Nasional,Lainnya,Lokal,Multinasional}
@attribute KesesuaianKerjadanKuliah {TidakSesuai,Sesuai}
@attribute Jabatan {Staf,LainnyaTidakBekerja,Pemilik,Magang,Manajer,Direktur}
@attribute Gaji {SangatTinggi,Nol,Tinggi,Sedang,Rendah,SangatRendah}
@attribute Bonus {Besar,TidakAdaBonus,Sedang,Kecil}
@attribute KepuasanKerja {Puas,TidakPuas}
@attribute KetepatanWaktuLulus {TepatWaktu,TidakTepatWaktu}
@attribute KeaktifanOrganisasi {Aktif,TidakAktif,KurangAktif,CukupAktif}
@attribute StatusLulus {Lulus,TidakLulus}

@data
Pria,DiBawah275,SangatBaik,VerySuperior,Bekerja,Lokal,TidakSesuai,Staf,Sedang,Besar,TidakPuas,TidakTepatWaktu,CukupAktif,Lulus
Pria,SangatMemuaskan,Baik,Average,Bekerja,Nasional,Sesuai,Staf,Tinggi,Sedang,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,AboveAverage,Wirausaha,Nasional,TidakSesuai,Manajer,Sedang,TidakAdaBonus,TidakPuas,TepatWaktu,CukupAktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,Bekerja,Nasional,TidakSesuai,Staf,Tinggi,TidakAdaBonus,Puas,TepatWaktu,CukupAktif,Lulus
Pria,DiBawah275,Baik,Average,TidakBekerja,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,Memuaskan,Baik,Genius,Bekerja,Nasional,Sesuai,Staf,Rendah,TidakAdaBonus,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,VerySuperior,MelanjutkanStudi,Lainnya,TidakSesuai,LainnyaTidakBekerja,Nol,TidakAdaBonus,Puas,TepatWaktu,TidakAktif,Lulus
Pria,CumLaude,Baik,AboveAverage,Bekerja,Multinasional,Sesuai,Staf,Tinggi,TidakAdaBonus,TidakPuas,TidakTepatWaktu,CukupAktif,Lulus
Pria,Memuaskan,Baik,Superior,Bekerja,Nasional,Sesuai,Staf,SangatTinggi,TidakAdaBonus,TidakPuas,TepatWaktu,Aktif,Lulus
Wanita,Memuaskan,Baik,VerySuperior,Bekerja,Nasional,TidakSesuai,Staf,SangatTinggi,TidakAdaBonus,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,CukupBaik,VerySuperior,Bekerja,Nasional,Sesuai,Staf,SangatTinggi,Besar,TidakPuas,TepatWaktu,CukupAktif,Lulus
Wanita,SangatMemuaskan,Baik,BelowAverage,Wirausaha,Nasional,TidakSesuai,Direktur,SangatRendah,TidakAdaBonus,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,Genius,Bekerja,Lokal,Sesuai,Staf,Sedang,Sedang,TidakPuas,TidakTepatWaktu,KurangAktif,Lulus
Wanita,SangatMemuaskan,Baik,Average,Bekerja,Nasional,Sesuai,Staf,Tinggi,Besar,TidakPuas,TepatWaktu,CukupAktif,Lulus
Wanita,Memuaskan,Baik,AboveAverage,Bekerja,Lokal,TidakSesuai,Staf,Sedang,Besar,TidakPuas,TepatWaktu,CukupAktif,Lulus
Pria,Memuaskan,Baik,BelowAverage,Bekerja,Multinasional,TidakSesuai,Staf,Tinggi,Sedang,TidakPuas,TepatWaktu,Aktif,Lulus
Pria,Memuaskan,Baik,AboveAverage,Bekerja,Nasional,TidakSesuai,Staf,Sedang,Sedang,TidakPuas,TepatWaktu,CukupAktif,Lulus
